Assessment_id,Assessment_link,Assessment_boundry,link_confirmation,Assessment_factors,Assessment_authors,Adaptation_plan,Organization_id
221,https://www.marincounty.org/main/sea-level-rise/vulnerability-assessment,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The Marin Shoreline Sea Level Rise Vulnerability Assessment covers the county of Marin. Within the report pp 259 - 279 describe San Rafael.",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems,Consultant; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,73723
222,Harbor Vulnerability--Wood report_Belfast 12 23 19.pdf,"Smaller - covers only part of the jurisdiction, please explain exclusions: Excludes all parts of Belfast not in  harbor area, as those are not vulnerable to sea-level rise",The assessment has been attached,Assessment considers nature; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,841960
223,Climate Vulnerability and Adaptation Report Johnson County FINAL 4.22.2022.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the jurisdictional boundary of Johnson County",The assessment has been attached,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,54111
224,Reading Climate Change Risk Assessment spreadhseet.xlsx,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,15515
225,Informe final V.Reyes revisado 01.2023-firmado.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,58595
226,Disaster Management Plan 2017.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,73746
227,https://crcl.columbia.edu/sites/default/files/content/Tel%20Aviv/CRCL_TLV_Report_WEB-compressed.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,,Consultant; Dedicated team within jurisdiction; International organization,Adaptation goal(s) and adaptation plan,35885
228,https://drive.google.com/file/d/14YKq5VIUYRohuZmKjgUVAYjl8MODQLUN/view,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,Relevant department within jurisdiction,Adaptation plan,31157
229,https://www.tamsui.ntpc.gov.tw/userfiles/3120400/files/%E6%96%B0%E5%8C%97%E5%B8%82%E5%9C%B0%E5%8D%80%E7%81%BD%E5%AE%B3%E9%98%B2%E6%95%91%E8%A8%88%E7%95%AB.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,56276
230,https://www.saj.usace.army.mil/MiamiDadeBackBayCSRMFeasibilityStudy/,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Miami-Dade County",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment includes sectors and/or urban systems,National/ central government,Adaptation goal(s) and adaptation plan,35870
231,Programa regional de cambio climático_Aipromades.pdf,Same - covers entire jurisdiction and nothing else,Unable to provide an attachment and/or direct link to the assessment as it is not yet published,Assessment considers vulnerable populations,Community group; Consultant; Regional/ state/ provincial government,Adaptation goal(s),826209
232,https://geoportal.cprm.gov.br/desastres,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: O Estudo realizado abrange todo o território do Estado de São Paulo, ultrapassando assim os limites municipais de Campinas.",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,National/ central government,Adaptation goal(s) and adaptation plan,35897
233,http://mphtj.gov.my/ms/htj/sumber/muat-turun-borang/unit-hijau-mphtj,Same - covers entire jurisdiction and nothing else,The assessment has been attached,,,Incomplete report,834157
234,https://www.cityofpaloalto.org/sealevelrise,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,54119
